,Year,Species,Number
202,2017.0,Minke,1056.0
203,2018.0,Minke,751.0
204,1985.0,Gray,0.0
205,1986.0,Gray,171.0
206,1987.0,Gray,159.0
207,1988.0,Gray,151.0
208,1989.0,Gray,180.0
209,1990.0,Gray,162.0
210,1991.0,Gray,169.0
211,1992.0,Gray,0.0
212,1993.0,Gray,0.0
213,1994.0,Gray,44.0
214,1995.0,Gray,92.0
215,1996.0,Gray,43.0
216,1997.0,Gray,79.0
217,1998.0,Gray,125.0
218,1999.0,Gray,124.0
219,2000.0,Gray,115.0
220,2001.0,Gray,112.0
221,2002.0,Gray,131.0
222,2003.0,Gray,128.0
223,2004.0,Gray,111.0
224,2005.0,Gray,124.0
225,2006.0,Gray,134.0
226,2007.0,Gray,132.0
227,2008.0,Gray,130.0
228,2009.0,Gray,116.0
229,2010.0,Gray,118.0
230,2011.0,Gray,130.0
231,2012.0,Gray,143.0
232,2013.0,Gray,127.0
233,2014.0,Gray,124.0
234,2015.0,Gray,125.0
235,2016.0,Gray,120.0
236,2017.0,Gray,120.0
237,2018.0,Gray,0.0
238,1985.0,Bowhead,0.0
239,1986.0,Bowhead,28.0
240,1987.0,Bowhead,31.0
241,1988.0,Bowhead,29.0
242,1989.0,Bowhead,26.0
243,1990.0,Bowhead,44.0
244,1991.0,Bowhead,48.0
245,1992.0,Bowhead,50.0
246,1993.0,Bowhead,52.0
247,1994.0,Bowhead,47.0
248,1995.0,Bowhead,57.0
249,1996.0,Bowhead,45.0
250,1997.0,Bowhead,66.0
251,1998.0,Bowhead,56.0
252,1999.0,Bowhead,48.0
253,2000.0,Bowhead,49.0
254,2001.0,Bowhead,76.0
255,2002.0,Bowhead,54.0
256,2003.0,Bowhead,44.0
257,2004.0,Bowhead,45.0
258,2005.0,Bowhead,71.0
259,2006.0,Bowhead,42.0
260,2007.0,Bowhead,63.0
261,2008.0,Bowhead,56.0
262,2009.0,Bowhead,45.0
263,2010.0,Bowhead,80.0
264,2011.0,Bowhead,55.0
265,2012.0,Bowhead,72.0
266,2013.0,Bowhead,61.0
267,2014.0,Bowhead,55.0
268,2015.0,Bowhead,52.0
269,2016.0,Bowhead,63.0
270,2017.0,Bowhead,59.0
271,2018.0,Bowhead,3.0
