Year ,Season, Type,Area,Nation,Fin,Sperm,Humpback,Sei,Bryde's ,Minke,Gray,Bowhead,Total,Notes 
1993,1993/94,SP: pelagic,Antarctic,Japan,0,0,0,0,0,330,0,0,330, 
1994,1994,N,NE Canada,Canada,0,0,0,0,0,0,0,1,1,Unlicenced catch.
1994,1994,AS,W. Greenland,Denmark,22,0,0,0,0,104,0,0,126, 
1994,1994,AS,E. Greenland,Denmark,0,0,0,0,0,5,0,0,5, 
1994,1994,SP: small type,NE Atlantic,Norway,0,0,0,0,0,74,0,0,74, 
1994,1994,WO: small type,NE Atlantic,Norway,0,0,0,0,0,206,0,0,206, 
1994,1994,SP: pelagic,NW Pacific,Japan,0,0,0,0,0,21,0,0,21, 
1994,1994,AS,Chukotka,Russia,0,0,0,0,0,0,44,0,44, 
1994,1994,AS,Alaska,USA,0,0,0,0,0,0,0,46,46, 
1994,1994,U,Indonesia,Indonesia,0,27,0,0,0,0,0,0,27,Unofficial information
1994,1994/95,SP: pelagic,Antarctic,Japan,0,0,0,0,0,330,0,0,330, 
1995,1995,AS,W. Greenland,Denmark,12,0,0,0,0,153,0,0,165, 
1995,1995,AS,E. Greenland,Denmark,0,0,0,0,0,9,0,0,9, 
1995,1995,WO: small type,NE Atlantic,Norway,0,0,0,0,0,218,0,0,218, 
1995,1995,SP: pelagic,NW Pacific,Japan,0,0,0,0,0,100,0,0,100, 
1995,1995,AS,Chukotka,Russia,0,0,0,0,0,0,90,0,90, 
1995,1995,AS,Alaska,USA,0,0,0,0,0,0,2,57,59, 
1995,1995,U,Indonesia,Indonesia,0,38,0,0,0,0,0,0,38,Unofficial information
1995,1995/96,SP: pelagic,Antarctic,Japan,0,0,0,0,0,440,0,0,440, 
1996,1996,N,NE Canada,Canada,0,0,0,0,0,0,0,1,1, 
1996,1996,AS,W. Greenland,Denmark,19,0,1,0,0,164,0,0,184, 
1996,1996,AS,E. Greenland,Denmark,0,0,0,0,0,12,0,0,12, 
1996,1996,WO: small type,NE Atlantic,Norway,0,0,0,0,0,388,0,0,388, 
1996,1996,AS,W.Indies,St.Vincent & Grenadines,0,0,1,0,0,0,0,0,1, 
1996,1996,N,NW Canada,Canada,0,0,0,0,0,0,0,1,1, 
1996,1996,SP: pelagic,NW Pacific,Japan,0,0,0,0,0,77,0,0,77, 
1996,1996,AS,Chukotka,Russia,0,0,0,0,0,0,43,0,43, 
1996,1996,AS,Alaska,USA,0,0,0,0,0,0,0,43,43, 
1996,1996,U,Indonesia,Indonesia,0,18,0,0,0,0,0,0,18,Unofficial information
1996,1996/97,SP: pelagic,Antarctic,Japan,0,0,0,0,0,440,0,0,440, 
1997,1997,AS,W. Greenland,Denmark,13,0,0,0,0,148,0,0,161, 
1997,1997,AS,E. Greenland,Denmark,0,0,0,0,0,14,0,0,14, 
1997,1997,WO: small type,NE Atlantic,Norway,0,0,0,0,0,503,0,0,503, 
1997,1997,SP: pelagic,NW Pacific,Japan,0,0,0,0,0,100,0,0,100, 
1997,1997,AS,Chukotka,Russia,0,0,0,0,0,0,79,0,79, 
1997,1997,AS,Alaska,USA,0,0,0,0,0,0,0,66,66, 
1997,1997,U,Indonesia,Indonesia,0,22,0,0,0,0,0,0,22,Unofficial information
1997,1997/98,SP: pelagic,Antarctic,Japan,0,0,0,0,0,438,0,0,438, 
1998,1998,N,NE Canada,Canada,0,0,0,0,0,0,0,1,1, 
1998,1998,AS,W. Greenland,Denmark,11,0,0,0,0,166,0,0,177, 
1998,1998,AS,E. Greenland,Denmark,0,0,0,0,0,10,0,0,10, 
1998,1998,WO: small type,NE Atlantic,Norway,0,0,0,0,0,625,0,0,625, 
1998,1998,AS,W.Indies,St.Vincent & Grenadines,0,0,2,0,0,0,0,0,2, 
1998,1998,SP: pelagic,NW Pacific,Japan,0,0,0,0,1,100,0,0,101,Bryde’s taken by accident 
1998,1998,AS,Chukotka,Russia,0,0,0,0,0,0,125,1,126, 
1998,1998,AS,Alaska,USA,0,0,0,0,0,0,0,54,54, 
1998,1998,U,Indonesia,Indonesia,0,31,0,0,0,0,0,0,31,Unofficial information
1998,1998/99,SP: pelagic,Antarctic,Japan,0,0,0,0,0,389,0,0,389, 
1999,1999,AS,W. Greenland,Denmark,9,0,2,0,0,170,0,0,181, 
1999,1999,AS,E. Greenland,Denmark,0,0,0,0,0,15,0,0,15, 
1999,1999,WO: small type,NE Atlantic,Norway,0,0,0,0,0,591,0,0,591, 
1999,1999,AS,W.Indies,St.Vincent & Grenadines,0,0,2,0,0,0,0,0,2, 
1999,1999,SP: pelagic,NW Pacific,Japan,0,0,0,0,0,100,0,0,100, 
1999,1999,AS,Chukotka,Russia,0,0,0,0,0,0,123,1,124, 
1999,1999,AS,Alaska,USA,0,0,0,0,0,0,0,47,47, 
1999,1999,AS,USA W coast,USA,0,0,0,0,0,0,1,0,1, 
1999,1999,U,Indonesia,Indonesia,0,6,0,0,0,0,0,0,6,Unofficial information
1999,1999/00,SP: pelagic,Antarctic,Japan,0,0,0,0,0,439,0,0,439, 
2000,2000,N,NE Canada,Canada,0,0,0,0,0,0,0,1,1, 
2000,2000,AS,W. Greenland,Denmark,7,0,0,0,0,145,0,0,152, 
2000,2000,AS,E. Greenland,Denmark,0,0,0,0,0,10,0,0,10, 
2000,2000,WO: small type,NE Atlantic,Norway,0,0,0,0,0,487,0,0,487, 
2000,2000,AS,W.Indies,St.Vincent & Grenadines,0,0,2,0,1,0,0,0,3, 
2000,2000,SP: pelagic,NW Pacific,Japan,0,5,0,0,43,40,0,0,88, 
2000,2000,Inf,Korea,Korea,0,0,0,0,0,2,0,0,2, 
2000,2000,AS,Chukotka,Russia,0,0,0,0,0,0,115,1,116, 
2000,2000,AS,Alaska,USA,0,0,0,0,0,0,0,47,47, 
2000,2000,U,Indonesia,Indonesia,0,10,0,0,0,0,0,0,10,Unofficial information
2000,2000/01,SP: pelagic,Antarctic,Japan,0,0,0,0,0,444,0,0,444, 
2001,2001,AS,W. Greenland,Denmark,8,0,2,0,0,139,0,0,149, 
2001,2001,AS,E. Greenland,Denmark,0,0,0,0,0,17,0,0,17, 
2001,2001,WO: small type,NE Atlantic,Norway,0,0,0,0,0,552,0,0,552, 
2001,2001,AS,W.Indies,St.Vincent & Grenadines,0,0,2,0,0,0,0,0,2, 
2001,2001,SP: pelagic,NW Pacific,Japan,0,8,0,1,50,100,0,0,159,Sei whale taken in error
2001,2001,Inf,Korea,Korea,0,0,0,0,0,1,0,0,1, 
2001,2001,AS,Chukotka,Russia,0,0,0,0,0,0,112,1,113, 
2001,2001,AS,Alaska,USA,0,0,0,0,0,0,0,75,75, 
2001,2001,U,Indonesia,Indonesia,0,35,0,0,0,0,0,0,35,Unofficial information
2001,2001/02,SP: pelagic,Antarctic,Japan,0,0,0,0,0,452,0,0,452, 
2002,2002,N,NE Canada,Canada,0,0,0,0,0,0,0,1,1, 
2002,2002,AS,W. Greenland,Denmark,13,0,2,0,0,139,0,0,154, 
2002,2002,AS,E. Greenland,Denmark,0,0,0,0,0,10,0,0,10, 
2002,2002,WO: small type,NE Atlantic,Norway,0,0,0,0,0,634,0,0,634, 
2002,2002,AS,W.Indies,St.Vincent & Grenadines,0,0,2,0,0,0,0,0,2, 
2002,2002,SP: coastal,Japan,Japan,0,0,0,0,0,50,0,0,50, 
2002,2002,SP: pelagic,NW Pacific,Japan,0,5,0,40,50,102,0,0,197, 
2002,2002,Inf,Korea,Korea,0,0,0,0,0,1,0,0,1, 
2002,2002,AS,Chukotka,Russia,0,0,0,0,0,0,131,3,134, 
2002,2002,AS,Alaska,USA,0,0,0,0,0,0,0,50,50, 
2002,2002,U,Indonesia,Indonesia,0,28,0,0,0,0,0,0,28,Unofficial information
2002,2002/03,SP: pelagic,Antarctic,Japan,0,0,0,0,0,441,0,0,441, 
2003,2003,AS,W. Greenland,Denmark,9,0,1,0,0,185,0,0,195, 
2003,2003,AS,E. Greenland,Denmark,0,0,0,0,0,14,0,0,14, 
2003,2003,SP: small type,Iceland,Iceland,0,0,0,0,0,37,0,0,37,1st catch by Iceland since rejoining the IWC
2003,2003,WO: small type,NE Atlantic,Norway,0,0,0,0,0,647,0,0,647, 
2003,2003,AS,W.Indies,St.Vincent & Grenadines,0,0,1,0,0,0,0,0,1, 
2003,2003,SP: coastal,Japan,Japan,0,0,0,0,0,50,0,0,50, 
2003,2003,SP: pelagic,NW Pacific,Japan,0,10,0,50,50,101,0,0,211, 
2003,2003,Inf,Korea,Korea,0,0,0,0,0,5,0,0,5, 
2003,2003,AS,Chukotka,Russia,0,0,0,0,0,0,128,3,131, 
2003,2003,AS,Alaska,USA,0,0,0,0,0,0,0,41,41, 
2003,2003,U,Indonesia,Indonesia,0,18,0,0,0,0,0,0,18,Unofficial information
2003,2003/04,SP: pelagic,Antarctic,Japan,0,0,0,0,0,443,0,0,443, 
2004,2004,AS,W. Greenland,Denmark,13,0,1,0,0,179,0,0,193, 
2004,2004,AS,E. Greenland,Denmark,0,0,0,0,0,11,0,0,11, 
2004,2004,SP: small type,Iceland,Iceland,0,0,0,0,0,25,0,0,25, 
2004,2004,WO: small type,NE Atlantic,Norway,0,0,0,0,0,544,0,0,544, 
2004,2004,SP: coastal,Japan,Japan,0,0,0,0,0,60,0,0,60, 
2004,2004,SP: pelagic,NW Pacific,Japan,0,3,0,100,51,100,0,0,254, 
2004,2004,Inf,Korea,Korea,0,0,0,0,0,8,0,0,8, 
2004,2004,AS,Chukotka,Russia,0,0,0,0,0,0,111,1,112, 
2004,2004,AS,Alaska,USA,0,0,0,0,0,0,0,44,44, 
2004,2004,U,Indonesia,Indonesia,0,14,0,0,0,0,0,0,14,Unofficial information
2004,2004/05,SP: pelagic,Antarctic,Japan,0,0,0,0,0,441,0,0,441, 
2005,2005,N,NE Canada,Canada,0,0,0,0,0,0,0,1,1, 
2005,2005,AS,W. Greenland,Denmark,13,0,0,0,0,176,0,0,189, 
2005,2005,AS,E. Greenland,Denmark,0,0,0,0,0,4,0,0,4, 
2005,2005,SP: small type,Iceland,Iceland,0,0,0,0,0,39,0,0,39, 
2005,2005,WO: small type,NE Atlantic,Norway,0,0,0,0,0,639,0,0,639, 
2005,2005,AS,W.Indies,St.Vincent & Grenadines,0,0,1,0,1,0,0,0,2,(There was no catch in 2004)
2005,2005,SP: coastal,Japan,Japan,0,0,0,0,0,121,0,0,121, 
2005,2005,SP: pelagic,NW Pacific,Japan,0,5,0,100,50,101,0,0,256, 
2005,2005,Inf,Korea,Korea,0,0,0,0,0,3,0,0,3, 
2005,2005,AS,Chukotka,Russia,0,0,0,0,0,0,124,2,126, 
2005,2005,AS,Alaska,USA,0,0,0,0,0,0,0,68,68, 
2005,2005,U,Indonesia,Indonesia,0,5,0,0,0,0,0,0,5,Unofficial information
2005,2005/06,SP: pelagic,Antarctic,Japan,10,0,0,0,0,856,0,0,866,See **
2006,2006,AS,W. Greenland,Denmark,10,0,1,1,0,181,0,0,193, 
2006,2006,AS,E. Greenland,Denmark,1,0,0,0,0,3,0,0,4, 
2006,2006,SP: small type,Iceland,Iceland,0,0,0,0,0,60,0,0,60, 
2006,2006,WR: small type,Iceland,Iceland,0,0,0,0,0,1,0,0,1, 
2006,2006,WR: coastal,W. Iceland,Iceland,7,0,0,0,0,0,0,0,7, 
2006,2006,WO: small type,NE Atlantic,Norway,0,0,0,0,0,545,0,0,545, 
2006,2006,AS,W.Indies,St.Vincent & Grenadines,0,0,1,0,0,0,0,0,1, 
2006,2006,SP: coastal,Japan,Japan,0,0,0,0,0,97,0,0,97, 
2006,2006,SP: pelagic,NW Pacific,Japan,0,6,0,101,51,100,0,0,258, 
2006,2006,Inf,Korea,Korea,0,0,0,0,0,2,0,0,2, 
2006,2006,AS,Chukotka,Russia,0,0,0,0,0,0,134,3,137, 
2006,2006,AS,Alaska,USA,0,0,0,0,0,0,0,39,39, 
2006,2006,U,Indonesia,Indonesia,0,4,0,0,0,0,0,0,4,Unofficial information
2006,2006/07,SP: pelagic,Antarctic,Japan,3,0,0,0,0,508,0,0,511,See **
2007,2007,AS,W. Greenland,Denmark,12,0,0,0,0,167,0,0,179, 
2007,2007,AS,E. Greenland,Denmark,0,0,0,0,0,2,0,0,2, 
2007,2007,SP: small type,Iceland,Iceland,0,0,0,0,0,39,0,0,39, 
2007,2007,WR: small type,Iceland,Iceland,0,0,0,0,0,6,0,0,6, 
2007,2007,WO: small type,NE Atlantic,Norway,0,0,0,0,0,597,0,0,597, 
2007,2007,AS,W.Indies,St.Vincent & Grenadines,0,0,1,0,0,0,0,0,1, 
2007,2007,SP: coastal,Japan,Japan,0,0,0,0,0,108,0,0,108, 
2007,2007,SP: pelagic,NW Pacific,Japan,0,3,0,100,50,100,0,0,253, 
2007,2007,Inf,Korea,Korea,0,0,0,0,0,22,0,0,22, 
2007,2007,AS,Chukotka,Russia,0,0,0,0,0,0,131,0,131, 
2007,2007,AS,Alaska,USA,0,0,0,0,0,0,0,63,63, 
2007,2007,AS,USA W coast,USA,0,0,0,0,0,0,1,0,1, 
2007,2007,U,Indonesia,Indonesia,0,43,0,0,0,0,0,0,43,Unofficial information
2007,2007/08,SP: pelagic,Antarctic,Japan,0,0,0,0,0,551,0,0,551,See **
2008,2008,N,NE Canada,Canada,0,0,0,0,0,0,0,4,4, 
2008,2008,AS,W. Greenland,Denmark,14,0,0,0,0,153,0,0,167, 
2008,2008,AS,E. Greenland,Denmark,0,0,0,0,0,1,0,0,1, 
2008,2008,WR: small type,Iceland,Iceland,0,0,0,0,0,38,0,0,38, 
2008,2008,WO: small type,NE Atlantic,Norway,0,0,0,0,0,536,0,0,536, 
2008,2008,AS,W.Indies,St.Vincent & Grenadines,0,0,2,0,0,0,0,0,2, 
2008,2008,SP: coastal,Japan,Japan,0,0,0,0,0,112,0,0,112, 
2008,2008,SP: pelagic,NW Pacific,Japan,0,2,0,100,50,59,0,0,211, 
2008,2008,Inf,Korea,Korea,0,0,0,0,0,6,0,0,6, 
2008,2008,AS,Chukotka,Russia,0,0,0,0,0,0,130,2,132, 
2008,2008,AS,Alaska,USA,0,0,0,0,0,0,0,50,50, 
2008,2008,U,Indonesia,Indonesia,0,34,0,0,0,0,0,0,34,Unofficial information
2008,2008/09,SP: pelagic,Antarctic,Japan,1,0,0,0,0,680,0,0,681,See **
2009,2009,N,NE Canada,Canada,0,0,0,0,0,0,0,4,4, 
2009,2009,AS,W. Greenland,Denmark,10,0,0,0,0,164,0,3,177, 
2009,2009,AS,E. Greenland,Denmark,0,0,0,0,0,4,0,0,4, 
2009,2009,WR: small type,Iceland,Iceland,0,0,0,0,0,81,0,0,81, 
2009,2009,WR: coastal,W. Iceland,Iceland,125,0,0,0,0,0,0,0,125, 
2009,2009,WO: small type,NE Atlantic,Norway,0,0,0,0,0,484,0,0,484, 
2009,2009,AS,W.Indies,St.Vincent & Grenadines,0,0,1,0,0,0,0,0,1, 
2009,2009,SP: coastal,Japan,Japan,0,0,0,0,0,122,0,0,122, 
