Year ,Season, Type,Area,Nation,Fin,Sperm,Humpback,Sei,Bryde's ,Minke,Gray,Bowhead,Total,Notes 
2015,2015,N,NE Canada,Canada,0,0,0,0,0,0,0,2,2, 
2015,2015,AS,W. Greenland,Denmark,12,0,6,0,0,133,0,1,152, 
2015,2015,AS,E. Greenland,Denmark,0,0,0,0,0,6,0,0,6, 
2015,2015,WR: coastal,W. Iceland,Iceland,155,0,0,0,0,0,0,0,155,No catch in 2016 & 2017.
2015,2015,WR: small type,Iceland,Iceland,0,0,0,0,0,29,0,0,29, 
2015,2015,WO: small type,NE Atlantic,Norway,0,0,0,0,0,660,0,0,660, 
2015,2015,AS,W.Indies,St.Vincent & Grenadines,0,0,1,0,0,0,0,0,1,No catch in 2016.
2015,2015,SP: coastal,Japan,Japan,0,0,0,0,0,70,0,0,70, 
2015,2015,SP: pelagic,NW Pacific,Japan,0,0,0,90,25,0,0,0,115, 
2015,2015,Inf,Korea,Korea,1,0,0,0,0,14,0,0,16,Total includes 1 species unknown. No catch in 2016.
2015,2015,AS,Chukotka,Russia,0,0,0,0,0,0,125,0,125, 
2015,2015,AS,Alaska,USA,0,0,0,0,0,0,0,49,49, 
2015,2015,U,Indonesia,Indonesia,0,7,0,0,0,0,0,0,7,Unofficial information
2015,2015-16,SP: pelagic,Antarctic,Japan,0,0,0,0,0,335,0,0,335, 
2016,2016,N,NE Canada,Canada,0,0,0,0,0,0,0,2,2, 
2016,2016,AS,W. Greenland,Denmark,9,0,5,0,0,148,0,0,162, 
2016,2016,AS,E. Greenland,Denmark,0,0,0,0,0,15,0,0,15, 
2016,2016,WR: small type,Iceland,Iceland,0,0,0,0,0,46,0,0,46, 
2016,2016,WO: small type,NE Atlantic,Norway,0,0,0,0,0,591,0,0,591, 
2016,2016,SP: Coastal,Japan,Japan,0,0,0,0,1,37,0,0,38,Inc. 1 Bryde's shot by mistake.
2016,2016,SP: Pelagic,NW Pacific,Japan,0,0,0,90,25,0,0,0,115, 
2016,2016,AS,Chukotka,Russia,0,0,0,0,0,0,120,2,122, 
2016,2016,AS,Alaska,USA,0,0,1,0,0,2,0,59,62,Inc. unauthorized take of 1 humpback & 2 minke whales.
2016,2016,U,Indonesia,Indonesia,0,12,0,0,0,0,0,0,12,Unofficial information
2016,2016-17,SP: Pelagic,Antarctic,Japan,0,0,0,0,0,335,0,0,335, 
2017,2017,N,NE Canada,Canada,0,0,0,0,0,0,0,1,1, 
2017,2017,AS,W. Greenland,Denmark,8,0,2,0,0,133,0,0,143, 
2017,2017,AS,E. Greenland,Denmark,0,0,0,0,0,10,0,0,10, 
2017,2017,WR: small type,Iceland,Iceland,0,0,0,0,0,17,0,0,17, 
2017,2017,WO: small type,NE Atlantic,Norway,0,0,0,0,0,432,0,0,432, 
2017,2017,AS,W.Indies,St.Vincent & Grenadines,0,0,1,0,0,0,0,0,1,No catch in 2018.
2017,2017,SP: Coastal,Japan,Japan,0,0,0,0,0,85,0,0,85, 
2017,2017,SP: Pelagic,NW Pacific,Japan,0,0,0,134,0,44,0,0,178, 
2017,2017,Inf,Korea,Korea,0,0,0,0,0,2,0,0,2, 
2017,2017,AS,Chukotka,Russia,0,0,0,0,0,0,119,1,120, 
2017,2017,AS,Alaska,USA,0,0,0,0,0,0,1,57,58,Inc. unauthorized take of 1 gray whale
2017,2017,U,Indonesia,Indonesia,0,27,0,0,0,0,0,0,27,Unofficial information
2017,2017-18,SP: Pelagic,Antarctic,Japan,0,0,0,0,0,333,0,0,333, 
2018,2018,N,NE Canada,Canada,0,0,0,0,0,0,0,3,3, 
2018,2018,AS,W. Greenland,Denmark,7,0,6,0,0,116,0,0,129, 
2018,2018,AS,E. Greenland,Denmark,0,0,0,0,0,2,0,0,2, 
2018,2018,WR: Coastal,W. Iceland,Iceland,146,0,0,0,0,0,0,0,146,Two listed as fin were fin/blue hybrids.              No catch in 2019 & 2020.
2018,2018,WR: small type,Iceland,Iceland,0,0,0,0,0,6,0,0,6, 
2018,2018,WO: small type,NE Atlantic,Norway,0,0,0,0,0,454,0,0,454, 
2018,2018,SP: Coastal,Japan,Japan,0,0,0,0,0,128,0,0,128, 
2018,2018,SP: Pelagic,NW Pacific,Japan,0,0,0,135,0,43,0,0,178, 
2018,2018,Inf,Korea,Korea,0,0,0,0,0,2,0,0,2, 
2018,2018,AS,Chukotka,Russia,0,0,0,0,0,0,107,0,107,
,,,,,,,,,,,,,,
