Year,Area,Fin,Sperm,Humpback,Sei,Bryde's,Minke,Gray,Bowhead,Total,CODE,latitudes,longitudes,size
1991.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,None,58.1769992,-167.136665,2.0
1991.0,Antarctic,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,288.0,None,-62.9569253,-60.6328425,2.0
1991.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,169.0,None,69.4467673,-171.3853847,2.0
1991.0,E. Greenland,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,8.0,None,68.4275896,-32.55215,2.0
1991.0,Indonesia,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,IDN,-9.6004834,121.7535375,2.0
1991.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,None,56.5499995,-24.0,2.0
1991.0,NW Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,None,52.2595533,-129.7790971,2.0
1991.0,W. Greenland,18.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,117.0,None,75.3906409,-66.8595852,2.0
1992.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,None,58.1769992,-167.136665,2.0
1992.0,Antarctic,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,330.0,None,-62.9569253,-60.6328425,2.0
1992.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,None,68.4275896,-32.55215,2.0
1992.0,Indonesia,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,IDN,-9.6004834,121.7535375,2.0
1992.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,95.0,None,56.5499995,-24.0,2.0
1992.0,W. Greenland,22.0,0.0,1.0,0.0,0.0,103.0,0.0,0.0,126.0,None,75.3906409,-66.8595852,2.0
1992.0,W.Indies,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,None,13.6571919,-60.8986297,2.0
1993.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,None,58.1769992,-167.136665,2.0
1993.0,Antarctic,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,330.0,None,-62.9569253,-60.6328425,2.0
1993.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,None,68.4275896,-32.55215,2.0
1993.0,Indonesia,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,IDN,-9.6004834,121.7535375,2.0
1993.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,226.0,None,56.5499995,-24.0,2.0
1993.0,W. Greenland,14.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,121.0,None,75.3906409,-66.8595852,2.0
1993.0,W.Indies,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,None,13.6571919,-60.8986297,2.0
1994.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,None,58.1769992,-167.136665,2.0
1994.0,Antarctic,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,330.0,None,-62.9569253,-60.6328425,2.0
1994.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0,None,69.4467673,-171.3853847,2.0
